E,lambda_star_sigma=1.0,lambda_star_sigma=1.2,lambda_star_sigma=1.4
0.2,0.2916393032960027,0.23001558890534504,0.18999127486370354
0.5,0.31355094755146584,0.26943731362221746,0.2434970779257879
0.8,0.34276590898471243,0.3124147296490771,0.29709884431018035
0.95,0.36636493407294446,0.34099463093004073,0.32910181182592396
