frac_E_over_V0,lambda_star_V0=0.8,lambda_star_V0=1.0,lambda_star_V0=1.2
0.05,0.18647665392868087,0.20911573603224004,0.22929348183474027
0.2,0.20373152877016493,0.23001558890534504,0.2541754985222478
0.4,0.22787249027140413,0.256432802399211,0.2834697484750171
0.6,0.25458762586039935,0.28268168426152773,0.30892888428123944
0.8,0.2871137003970904,0.3124147296490771,0.3347019272911442
0.95,0.3179408111731853,0.34099463093004073,0.35960369363718214
