quantity,pearson_r,spearman_rho,rmse
E_raw,0.9979798448668163,1.0,0.0033407939871582205
S0,-0.997608665834753,-1.0,0.0036344368253734684
L,-0.977504973530076,-1.0,0.011090824412901941
Vbar,0.9081158364765972,1.0,0.02201833546565523
