E,lambda_star_w=0.08,lambda_star_w=0.12,lambda_star_w=0.2
0.05,0.20872495044843556,0.20911573603224004,0.21018464985227447
0.2,0.2302535259429353,0.23001558890534504,0.22917523882725932
0.4,0.25750422836555487,0.256432802399211,0.2531261389624794
0.6,0.28442090398316766,0.28268168426152773,0.27749942084687296
0.8,0.31444056215912597,0.3124147296490771,0.3066046934482085
0.95,0.3427938749821493,0.34099463093004073,0.33613269133302476
0.99,0.35177893059599147,0.35012308602197506,0.3457751978253639
