E,lambda_star_R=-0.5,lambda_star_R=-1.0,lambda_star_R=-1.5,lambda_star_R=-2.0
0.2,0.11276947213534516,0.23001558890534504,0.3524378429747819,0.4795458362295092
0.5,0.13409544576874727,0.26943731362221746,0.4073597540750261,0.5491340026083974
0.8,0.15890293518760146,0.3124147296490771,0.4648499651049042,0.618556449971483
0.95,0.17666872179122953,0.34099463093004073,0.501202397262042,0.6608075745054005
1.0,0.18413300648017952,0.3525299589433842,0.5155191412596666,0.677217903811579
1.1,0.2023481160713562,0.37984078385827796,0.5484309359830836,0.7144376503120512
