quantity,pearson_r,spearman_rho,rmse
delta,-0.5155082371680048,-0.37857142857142856,0.04505953613240656
tan_delta,-0.5507447596233597,-0.37857142857142856,0.0438915688093227
wigner_delay,0.8839215573800373,1.0,0.024590737921279256
